arr_δ,arr_l2u,arr_h1u,arr_l2p,arr_h1p,arr_δ_nostab,arr_l2u_nostab,arr_h1u_nostab,arr_l2p_nostab,arr_h1p_nostab
4.861359120657514e-5,0.00946779537532977,0.2993461608353963,0.06820480623274483,1.9166444949720585,4.861359120657514e-5,6.116315533939096,311.8757218442481,38912.7903251243,1319.0210877196296
9.722718241315028e-5,0.009478838792541805,0.2993849784787381,0.06821969286601709,1.9168868421534282,9.722718241315028e-5,8.885826238619014,456.11361309058134,5763.7455449434165,772.0352889518803
0.00014584077361972544,0.009487310712117933,0.29941724416848325,0.06823182493157601,1.9170565987511603,0.00014584077361972544,8.229243274522018,791.6114550152905,39446.21547850363,2246.3947249555154
0.00019445436482630056,0.009494444273391424,0.2994465307570886,0.06824256218056278,1.91718944571613,0.00019445436482630056,6.409701323185358,573.0002418267251,67208.10307960841,1366.9485086272834
0.00024306795603287572,0.009500716970207022,0.29947427272931854,0.06825241474555074,1.917298891888372,0.00024306795603287572,24.627240672463994,1390.7785374035916,20294.322852963618,2133.013218557344
0.00029168154723945087,0.00950637345088992,0.2995012627951826,0.06826163339866012,1.917391694004569,0.00029168154723945087,3807.679809817379,152568.34612470277,43578.07854243728,6684.184097329693
0.000340295138446026,0.009511558868679316,0.2995280355002032,0.0682703582658934,1.9174717566910857,0.000340295138446026,127.4545616776731,5251.706877013869,273424.22873499925,3847.911806229546
0.0003889087296526011,0.009516367692622823,0.29955501143444424,0.06827867234320674,1.9175415453206857,0.0003889087296526011,5.757002893927757,3892.9057375305874,398376.7915039003,5062.8125506937395
0.0004375223208591763,0.009520865504574138,0.29958256729503374,0.06828662467816449,1.917602707903332,0.0004375223208591763,1255.6060979408528,58327.70090451451,332226.14175827627,4161.769523738758
0.00048613591206575144,0.009525100090077081,0.2996110798090656,0.06829424137259824,1.9176563840976737,0.00048613591206575144,977.2321908982092,46717.60598900623,1.101945377348281e6,8840.375322132246
0.0005347495032723265,0.009529107646205126,0.2996409630518991,0.06830153068358817,1.9177033700453574,0.0005347495032723265,218.27806281634543,10594.654285564799,1.093805456301358e6,5477.707280260413
0.0005833630944789017,0.009532916538676649,0.29967271163792675,0.06830848442038895,1.9177442070120791,0.0005833630944789017,510.4884085981615,23748.400372051463,740143.2571997014,3442.0727057100466
0.0006319766856854768,0.009536549764279954,0.2997069510271514,0.06831507621097654,1.9177792234435524,0.0006319766856854768,297.41439499997944,12087.83008813686,725580.1542707236,3896.53594863516
0.000680590276892052,0.009540026802950269,0.2997445803185253,0.06832125412361026,1.9178085259977233,0.000680590276892052,44836.561623000875,1.666442063682508e6,4.1225682280097175e6,11314.867976446758
0.0007292038680986272,0.009543363248639738,0.2997611205396153,0.06832703078820002,1.9178337034901367,0.0007292038680986272,460.77167047344886,920212.8931700594,1.6939022099933103e8,88548.74863842355
0.0007778174593052023,0.009546638946935304,0.29980039860151597,0.0683308429740027,1.9178441516752294,0.0007778174593052023,445.31320003523615,22642.950764482604,2.939816559584033e6,7074.641619037532
0.0008264310505117775,0.009549738195123574,0.2998322740465657,0.06833522477129925,1.9178544053708557,0.0008264310505117775,48.74720758375973,2704.3932549226024,2.6032770653569076e7,4811.029672644349
0.0008750446417183526,0.009556214445057361,0.30038912774973014,0.06849067034665587,1.916300386685569,0.0008750446417183526,1.947802345004996e6,1.1293609835085447e8,5.5779417835071675e7,131094.98665597267
0.0009236582329249278,0.009559089495294054,0.2999232262371671,0.06848814124389609,1.9163030190776082,0.0009236582329249278,180481.5513916052,1.6212083614389056e8,4.804992112393204e9,644938.3007404199
0.0009722718241315029,0.009562057900290747,0.29996697923387905,0.06848795072496947,1.9163101926506287,0.0009722718241315029,2.2318828763919306e9,4.3453028863610913e11,4.591293435288024e12,1.124855054401238e8
0.001020885415338078,0.00957258421784926,0.29951982793010523,0.06795950081177604,1.9144903150175836,0.001020885415338078,0.005583012761668121,0.2948272429032718,10.853308933475914,5.989649117400327
0.001069499006544653,0.009575675027119136,0.29952743789636843,0.06796407452041595,1.9144889995601102,0.001069499006544653,0.005574419288121981,0.27379130062540286,0.812415016816116,2.0398080160742045
0.0011181125977512284,0.00957870276645818,0.2995347681326626,0.06796854354887315,1.9144842097802228,0.0011181125977512284,0.005574037687843895,0.27379371827566223,0.837017268245738,2.040915684195082
0.0011667261889578035,0.009581673818289518,0.29954183813720076,0.06797290288660715,1.9144757358445406,0.0011667261889578035,0.005573687482242309,0.27380604313008317,0.8618702615376174,2.0428155518244386
0.0012153397801643786,0.009584594527611309,0.29954867303070415,0.06797714518398094,1.914463294052512,0.0012153397801643786,0.005572497553329297,0.2800607531595561,8.110939098176601,4.640093227035804
0.0012639533713709537,0.00958747128690203,0.29955530740617936,0.06798126066080795,1.9144465231480308,0.0012639533713709537,0.005573095676094607,0.2738655238737086,0.9119971451799144,2.0495915711123547
0.0013125669625775288,0.009590310567654626,0.29956179057293164,0.06798523718695552,1.914424986396319,0.0013125669625775288,0.005597174962043444,0.37087805196755635,18.243736535883038,9.56552483647605
0.001361180553784104,0.009593118871501348,0.29956819328385775,0.06798906067532258,1.914398183927603,0.001361180553784104,0.005591592553644338,0.37173428903626354,18.55678563148481,9.63296346091766
0.0014097941449906792,0.00959590257483161,0.29957461554876175,0.06799271592149646,1.9143655794938765,0.0014097941449906792,0.005571719299620043,0.2736703670287784,0.8861082067045309,2.041035400677092
0.0014584077361972543,0.009598667665889944,0.2995811943700202,0.06799618791520073,1.9143266419946616,0.0014584077361972543,0.005610726899227211,0.48345173318683266,22.820854189906917,11.672139627905349
0.0015070213274038296,0.009601419437869772,0.2995881095688404,0.06799946336431688,1.9142808929129862,0.0015070213274038296,0.005628610769037832,0.5740547098160902,25.744142146850404,13.080252638024524
0.0015556349186104045,0.009604162305372203,0.2995955863284047,0.06800253170512198,1.9142279369500144,0.0015556349186104045,0.010163150214576203,6.513670437532528,111.35693606490524,55.77796070832308
0.0016042485098169798,0.009606900015482832,0.29960389604162746,0.06800538435764551,1.914167441109972,0.0016042485098169798,0.005680507454238652,0.8007054632976245,31.700572704316166,15.930673470362716
0.001652862101023555,0.009609636547419802,0.29961336290494667,0.0680080107406204,1.9140990279210595,0.001652862101023555,0.00573436679191953,0.9940451224791794,35.9407512800843,17.966660510439564
0.0017014756922301302,0.00961237782481135,0.2996243905217854,0.0680103904452079,1.9140220693077286,0.0017014756922301302,0.005991059052330603,1.6606197458092649,48.41979958933943,24.05245910877663
0.0017500892834367051,0.00961513387291772,0.29963752734084936,0.06801248467090544,1.9139354086859717,0.0017500892834367051,0.005980300982443558,1.6117702228524977,49.6013446772457,24.550563626078223
0.0017987028746432802,0.00961792064372107,0.29965358906829137,0.06801423145171588,1.9138370706327332,0.0017987028746432802,0.005574408396024481,0.3051437196977594,10.358346386975143,5.486030784396213
0.0018473164658498555,0.009620761367327414,0.29967384551321347,0.06801553761497217,1.9137240066755388,0.0018473164658498555,0.005570929163221902,0.27480707888906936,0.742317957263861,2.0831035745727395
0.0018959300570564304,0.009623687013899668,0.29970025127627353,0.06801626968219435,1.9135920293780022,0.0018959300570564304,0.005569676580487157,0.27483359380384864,1.1026945885542703,2.095928783279476
0.0019445436482630057,0.009626733873483787,0.29973564743560016,0.06801627241559581,1.9134362097513335,0.0019445436482630057,0.005569114007800123,0.27465605799899234,1.1094776515237517,2.083060420793483
0.001993157239469581,0.009629938235360612,0.2997838401709563,0.06801540231984024,1.9132515612087317,0.001993157239469581,0.00557007659574405,0.29630926731635665,8.638672264141558,4.639794251599921
0.002041770830676156,0.009633333714443616,0.29984963795398084,0.06801353077438839,1.913033137279106,0.002041770830676156,0.00556885599644403,0.2739525879723508,0.6904878319029635,2.0289728689252855
0.0020903844218827313,0.00963695925952947,0.299939314785075,0.06801049722608092,1.9127745871592001,0.0020903844218827313,0.005568526668303921,0.2739047520769497,0.6809320621320809,2.0240146649975586
0.002138998013089306,0.009640880860485743,0.3000622490148047,0.06800600999549798,1.9124647370531234,0.002138998013089306,0.005568216477964709,0.2738731039944507,0.6724024230375233,2.0201652343588448
0.0021876116042958815,0.009645229639736656,0.3002349136484847,0.0679994741847019,1.9120812693934968,0.0021876116042958815,0.005567921177294688,0.2738526668217866,0.6648545986421464,2.0171449355967557
0.0022362251955024568,0.00965028656464862,0.30049125552325406,0.06798959085063383,1.9115755151443652,0.0022362251955024568,0.005567637365073166,0.2738401796546606,0.658236803373868,2.0147408255208177
0.0022848387867090317,0.009656795177350387,0.3009217234626488,0.06797283328203838,1.9108142163997608,0.0022848387867090317,0.005708152099441958,1.0210399065263245,32.86652013092393,15.781213448572668
0.002333452377915607,0.009669722313020147,0.302143441960435,0.06792475931707481,1.9088612399185179,0.002333452377915607,0.005566109094527226,0.2748937311114068,1.057670407670523,2.0444589603971735
0.002382065969122182,0.009674641550513754,0.30224731381710035,0.06794139224363376,1.9090960737612455,0.002382065969122182,0.005565541131853601,0.2844191811893361,7.806900858053011,4.203732464217122
0.002430679560328757,0.009672835345711223,0.30199974427830767,0.06797625946608286,1.9104881601287182,0.002430679560328757,0.0055665710848787275,0.27383268572673397,0.6399803195589931,2.0086425331653905
0.002479293151535332,0.00962020862937922,0.3033669965409897,0.06835765476858312,1.9239133360232867,0.002479293151535332,0.005566315924542374,0.2738363903908482,0.6372515444195277,2.0076345341842923
0.0025279067427419074,0.00966910058636257,0.30101869775458634,0.06803916917215143,1.912337543676027,0.0025279067427419074,0.005566064445232181,0.2738412804507936,0.6351928780249163,2.006758330533605
0.0025765203339484827,0.009665564392046038,0.3006286176812975,0.0680631788698928,1.9131629204020528,0.0025765203339484827,0.005565816523142344,0.27384709032265964,0.6337802408270159,2.0059944817487283
0.0026251339251550576,0.009628427176212762,0.30214683062711467,0.06830340194942829,1.9212706049203452,0.0026251339251550576,0.0055655720785008165,0.2738536286344964,0.6329920163707999,2.005328499216475
